player_id,player_name,date_of_birth,position,team_id
1,Debbie Carlson,1999-07-01,Setter,1
2,Shawn Garza,1994-11-18,Opposite Hitter,1
3,Nicholas Walsh,1988-02-27,Libero,1
4,Shirley Hudson,1997-07-14,Libero,1
5,Brian Fuller,1987-05-26,Setter,1
6,Jessica Fowler,1988-02-13,Outside Hitter,1
7,Alexandria Banks,1987-04-25,Libero,1
8,Stanley Mendoza,1986-02-12,Middle Blocker,1
9,Mary Jensen,1989-02-24,Middle Blocker,1
10,Courtney Taylor,1994-11-01,Setter,1
11,Donna Meyer,1994-12-13,Opposite Hitter,2
12,Jacob Ortiz,1985-10-23,Opposite Hitter,2
13,Rose Pineda,1995-01-27,Setter,2
14,Jason Johnson,1996-06-01,Setter,2
15,Paul Gutierrez,2002-09-08,Outside Hitter,2
16,Matthew Holloway,1994-04-14,Outside Hitter,2
17,Kevin Choi,2005-11-12,Libero,2
18,Carol Terry,2000-09-01,Opposite Hitter,2
19,Deborah Fernandez,1997-02-05,Middle Blocker,2
20,Jeremy Ford,1987-01-21,Setter,2
21,Tiffany Smith,1995-05-26,Outside Hitter,3
22,Megan Dixon,1994-12-30,Outside Hitter,3
23,Heather Horne,1983-10-03,Outside Hitter,3
24,Jennifer Turner,2000-05-19,Libero,3
25,Jim Morales,1994-02-22,Middle Blocker,3
26,Melissa Smith,1994-08-30,Middle Blocker,3
27,Brandi Gray,1994-09-15,Libero,3
28,Dustin Castillo,2006-01-27,Outside Hitter,3
29,Martin Rose,1985-08-01,Outside Hitter,3
30,James Williams,1996-02-22,Opposite Hitter,3
31,Michael Floyd,2001-09-27,Libero,4
32,Abigail Gonzalez,1988-04-23,Middle Blocker,4
33,Jessica Curtis,2002-07-22,Setter,4
34,Calvin Jones,1989-11-01,Outside Hitter,4
35,Billy Young,1991-05-22,Opposite Hitter,4
36,Angela Townsend,1992-05-28,Libero,4
37,Regina George,1984-03-30,Opposite Hitter,4
38,Michael Davis,1992-06-09,Setter,4
39,Jeremy Fry,2004-03-05,Libero,4
40,Susan Gonzalez,1993-01-14,Setter,4
41,Megan Smith,2001-12-21,Setter,5
42,Eric Gray,1989-01-25,Opposite Hitter,5
43,Diana Bell,1997-05-09,Libero,5
44,Nicholas Lawson,2000-10-10,Outside Hitter,5
45,Jorge Ross,1995-03-02,Setter,5
46,Kevin Gamble,2000-07-28,Outside Hitter,5
47,Jody Stephens,1990-11-27,Outside Hitter,5
48,Robert Jackson,1996-10-24,Middle Blocker,5
49,Kathleen Shelton,1997-02-24,Outside Hitter,5
50,James Lynch,2004-10-12,Libero,5
51,Michelle Prince,1995-07-02,Setter,6
52,Donna Brown,2005-06-06,Opposite Hitter,6
53,William Grimes,2001-08-18,Opposite Hitter,6
54,Todd Murphy,2003-05-02,Middle Blocker,6
55,Katherine Clark,2004-08-12,Middle Blocker,6
56,Paul Avila,2003-09-17,Setter,6
57,Brandon Stanley,2003-10-29,Opposite Hitter,6
58,Mark Kelly,1984-10-07,Middle Blocker,6
59,Courtney Dudley,2003-03-26,Outside Hitter,6
60,Gregory Thomas,1985-03-27,Libero,6
61,Emily Bass,1995-11-27,Middle Blocker,7
62,Brian Dawson,1989-07-05,Libero,7
63,Samantha Olson,1999-09-12,Outside Hitter,7
